Pantheon,Pronunciation,url,Good/Evil Rating,Celebration or Feast Day,Area of expertise,Associated with,In charge of,Birth and Death Dates,Popularity index,Name means,Name,Alternative names,Area or people,Type,Role,Related Gods,Gender 
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-BONAVENTURE/,Unknown at present,July 15th,,,,1221-1274,828,,Bonaventure,['unspecified'],,Saint,Unknown at present,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PROTEUS/,Unknown at present,Unknown at present,"Sea, Seas, Ocean, Oceans",,the Ocean,,2056,,Proteus,['unspecified'],,God,unspecified,"{'Tethys', 'Poseidon'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/NEPHELAI/,"NEUTRAL, may not care",Unknown at present,Clouds,,Clouds,,2212,,Nephelai,['unspecified'],,Spirits,☁️,"{'Oceanus', 'Tethys', 'Nymphs'}",Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-REGULUS/,Unknown at present,Unknown at present,,,,???-???,847,,Regulus,['Rule'],,Saint,Unknown at present,{'Andrew'},Male
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/PALENQUE-TRIAD/,Unknown at present,Unknown at present,"Tutelary, Patronage",,Patronage,,2871,,Palenque Triad,['unspecified'],,Gods,unspecified,"{'Chac Xib Chac', ""K'awiil"", 'Olmec Gods', 'Kinich Ahau'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-FRANCES-OF-ROME/,Unknown at present,Unknown at present,,,,1384-1440,694,,Frances of Rome,['unspecified'],,Saint,Unknown at present,set(),Female
Australian Aboriginal pantheon,Coming soon,https://www.godchecker.com/australian-aboriginal-mythology/BELLIN-BELLIN/,"NOT OKAY, be careful",Unknown at present,Wind,,Wind,,3045,,Bellin-Bellin,['unspecified'],"Kulin nation, Wurundjeri peoples of Victoria",God,unspecified,"{'Bunjil', 'Waang'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/ATHENA/,Unknown at present,Unknown at present,War,,War,,12940,,Athena,"['Athene', 'Pallas-Athena']",,Goddess,unspecified,"{'Pallas', 'Metis', 'Hephaestus', 'Gaia', 'Zeus', 'Nike'}",Female
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/TEPEU/,Unknown at present,Unknown at present,Creation,,Creating,,4944,Sovereign,Tepeu,['unspecified'],,God,unspecified,{'Kukulcan'},Male
Yoruba pantheon,Coming soon,https://www.godchecker.com/yoruba-mythology/YANSAN/,"OKAY, not bad",Unknown at present,Wind,,Wind,,4824,,Yansan,['unspecified'],Yoruba people of Nigeria and Benin,Goddess,unspecified,{'Oya'},Female
South American pantheon,Coming soon,https://www.godchecker.com/south-american-mythology/PARIACACA/,Unknown at present,Unknown at present,Hero,,Heroics,,3451,,Pariacaca,['Paricaca'],Huarochirí (Waruchiri) people of Western Andes,God,unspecified,{'Huallallo'},Male
Japanese pantheon,Coming soon,https://www.godchecker.com/japanese-mythology/HIRUKO/,Unknown at present,Unknown at present,,,,,1974,,Hiruko,['unspecified'],,God,Unknown at present,{'Ebisu'},Male
Micronesian pantheon,Coming soon,https://www.godchecker.com/micronesian-mythology/NA-KAA/,Unknown at present,Unknown at present,Creation,,Creating,,1659,,Na Kaa,['unspecified'],Kiribati aka Gilbert Islands in Micronesia,God,unspecified,set(),Male
Sámi pantheon,Coming soon,https://www.godchecker.com/sami-mythology/KUL/,Unknown at present,Unknown at present,Water,,Water,,2116,,Kul,['unspecified'],Ostiak Sámi (aka Saami) people of Sápmi (formerly known as Lapland),Spirit,unspecified,set(),"Sorry, we don't know"
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/HYDRA/,Unknown at present,Unknown at present,,,,,3121,,Hydra,['unspecified'],,Demon,Unknown at present,"{'Heracles', 'Typhon', 'Ceryneian Hind', 'Echidna', 'Nemean Lion'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-SILVERIUS/,Unknown at present,Unknown at present,,,,465-537,713,,Silverius,['Sylvere'],,Saint,Unknown at present,set(),Male
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/EIGHTFOLD-WAY/,"GREAT, really beneficial",Unknown at present,,,,,1312,,Eightfold Way,['Eightfold-Path'],,concept,Unknown at present,{'Nirvana'},Male and female
Finnish pantheon,Coming soon,https://www.godchecker.com/finnish-mythology/KALMA/,"BAD, best avoided",Unknown at present,Death,,Death,,10618,,Kalma,['unspecified'],,Goddess,unspecified,"{'Tuonela', 'Surma'}",Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-HERVE/,Unknown at present,Unknown at present,,,,521-566,864,,Hervé,"['Harvey', 'Herveus']",,Saint,Unknown at present,set(),Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/WULBARI/,"GOOD, quite approachable",Unknown at present,Ruling,,Ruling,,2564,,Wulbari,['unspecified'],Krachi of Ghana,God,unspecified,{'Anansi'},Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/MACHA/,"OKAY, not bad",Unknown at present,Fertility,,Fertility,,2553,,Macha,['unspecified'],,Goddess,unspecified,"{'Mórrígan', 'Medb'}",Female
Yoruba pantheon,Coming soon,https://www.godchecker.com/yoruba-mythology/OYA/,"GREAT, really beneficial",Unknown at present,"Many things, lots of stuff",,Many Things,,30991,,Oya,"['Oyá', 'Oya-Iyansan']",Yoruba people of Nigeria and Benin,Goddess,unspecified,"{'Orishas', 'Shango', 'Yemaya'}",Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-MEDARD/,Unknown at present,Unknown at present,,,,470-560,699,,Medard,['Medardus'],,Saint,Unknown at present,set(),Male
Polynesian pantheon,Coming soon,https://www.godchecker.com/polynesian-mythology/TAONOUI/,Unknown at present,Unknown at present,"Star, Stars",,Stars,,1512,,Taonoui,['Taonouit'],Society Islands (Tōtaiete mā) of Polynesia,Goddess,unspecified,"{'Roua', 'Fati'}",Female
Melanesian pantheon,Coming soon,https://www.godchecker.com/melanesian-mythology/KAHAUSIBWARE/,Unknown at present,Unknown at present,Creation,,Creating,,1173,,Kahausibware,['unspecified'],Solomon Islands,Goddess,unspecified,set(),Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/SAGA/,Unknown at present,Unknown at present,Wisdom,,Wisdom,,4421,,Sága,['Saga'],,Goddess,unspecified,"{'Odin', 'Laha', 'Sökkvabekk'}",Female
Japanese pantheon,Coming soon,https://www.godchecker.com/japanese-mythology/NINIGI-NO-MIKOTO/,"NEUTRAL, may not care",Unknown at present,"Cooking, Cuisine",,Cooking,,3685,,Ninigi-no-Mikoto,"['Ninigi', 'Ninikine']",,God,unspecified,"{'Amaterasu', 'Konohanasakuya-Hime', 'Hoderi', 'Sarutahiko', 'Hosuseri', 'Hoori'}",Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/KHONSU/,Unknown at present,Unknown at present,Moon,,the Moon,,6018,,Khonsu,"['Chons', 'Khensu', 'Khons']",,God,🌝,"{'Iah', 'Thoth'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-GILDAS-THE-WISE/,Unknown at present,Unknown at present,,,,500-570,758,,Gildas the Wise,"['Gildas Sapiens', 'Gweltaz']",,Saint,Unknown at present,"{'Aidan of Lindisfarne', 'Patrick'}",Male
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/AC-YANTO/,Unknown at present,Unknown at present,Creation,,Creating,,2194,,Ac Yanto,['unspecified'],,God,unspecified,{'Hachakyum'},Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/KATONDA/,"NEUTRAL, may not care",Unknown at present,Creation,,Creating,,2822,,Katonda,['unspecified'],Uganda,God,unspecified,set(),Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/LEGBA/,"GOOD, quite approachable",Unknown at present,"Trickster, Mischief, Mayhem",,Mayhem,,6498,,Legba,['unspecified'],Fon people of Benin and Togo,God,unspecified,"{'Legba (2)', 'Vodou', 'Eshu'}",Male
Cherokee pantheon,Coming soon,https://www.godchecker.com/cherokee-mythology/EW-AH/,Unknown at present,Unknown at present,,,,,5677,,Ew'ah,"['Ewah', 'Spirit Of Madness']",Cherokee,Demon,Unknown at present,set(),Male
Japanese pantheon,Coming soon,https://www.godchecker.com/japanese-mythology/BIMBOGAMI/,"NEUTRAL, may not care",Unknown at present,Poverty,,Poverty,,3236,,Bimbogami,['Binbogami'],,God,unspecified,{'Kami'},Male
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/VERTUMNUS/,Unknown at present,Unknown at present,Fruit,,Fruit,,1591,,Vertumnus,['unspecified'],,God,unspecified,{'Pomona'},Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/POLEVIK/,Unknown at present,Unknown at present,"Agriculture, Farming",,Agriculture and Farming,,2229,,Polevik,"['Polevoi', 'Polevoj', 'Polevoy', 'Polewik']",,Spirits,unspecified,set(),Male and female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-HEGESIPPUS/,Unknown at present,Unknown at present,,,,???-180,692,,Hegesippus,['unspecified'],,Saint,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-JUSTIN-MARTYR/,Unknown at present,Unknown at present,,,,100-165,611,,Justin Martyr,['Flavia Neapolis'],,Saint,Unknown at present,set(),Male
Hawaiian pantheon,Coming soon,https://www.godchecker.com/hawaiian-mythology/PELE/,Unknown at present,Unknown at present,"Volcano, Volcanoes",,Volcanoes,,10781,,Pele,"['Pelei', 'Pere']",Hawaii,Goddess,🌋,"{'Hiiaka', 'Haumea'}",Female
South American pantheon,Coming soon,https://www.godchecker.com/south-american-mythology/ALUBERI/,"NEUTRAL, may not care",Unknown at present,Creation,,Creating,,1626,,Aluberi,['unspecified'],Arawak people of Guyana,God,unspecified,{'Aiomun Kondi'},Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/GROA/,Unknown at present,Unknown at present,,,,,3277,,Groa,['unspecified'],,legendary mortal,Unknown at present,"{'Thor', 'Aurvandil', 'Frost Giants', 'Hrungnir'}",Female
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/K-AWIIL/,"NEUTRAL, may not care",Unknown at present,"Royalty, Kings, Queens",,Kings and Queens,,4813,,K'awiil,"['Ah Bolom Tzacab', ""Ah Bolon Dz'acab"", ""Ah Bolon Tz'aka"", ""Bolon Dz'acab"", 'Bolon Dzacab', 'Gii', 'God K', ""K'awi"", 'Kauil']",,God,unspecified,{'Palenque Triad'},Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/APOLLO/,Unknown at present,Unknown at present,"Many things, lots of stuff",,Many Things,,24480,,Apollo,['Apollon'],,God,unspecified,"{'Artemis', 'Leto', 'Sibyl of Cumae', 'Asclepius', 'Zeus', 'Cassandra', 'Muses'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/EUTERPE/,Unknown at present,Unknown at present,Music,,Music,,3578,,Euterpe,['unspecified'],,Goddess,🎵,{'Muses'},Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/BALDER/,Unknown at present,Unknown at present,"Good, Goodness",,Goodness,,14236,,Balder,"['Baldr', 'Baldur']",,God,unspecified,"{'Belobog', 'Hermod', 'Frigg', 'Odin', 'Loki', 'Hoder'}",Male
Aztec pantheon,Coming soon,https://www.godchecker.com/aztec-mythology/MICTECACIHUATL/,"OKAY, not bad",Unknown at present,Death,,Death,,4079,,Mictecacihuatl,['Mictlancihuatl'],,Goddess,unspecified,"{'Mictlantecuhtli', 'Mictlan'}",Female
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/DHANISTHA/,"BAD, best avoided",Unknown at present,Misfortune,,Bad Luck,,1215,,Dhanistha,['Dhanishtha'],,Goddess,unspecified,{'Nakshatras'},Female
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/SPHINX-2/,Unknown at present,Unknown at present,,,,,1845,,Sphinx (2),['unspecified'],,fabulous creature,Unknown at present,"{'Typhon', 'Harmakhis', 'Cerberus', 'Sphinx', 'Echidna', 'Nemean Lion', 'Hydra', 'Chimera'}",Female
Etruscan pantheon,Coming soon,https://www.godchecker.com/etruscan-mythology/TIVR/,Unknown at present,Unknown at present,Moon,,the Moon,,2016,,Tivr,['Tiur'],,God,🌝,"{'Selene', 'Luna'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PHOBOS/,Unknown at present,Unknown at present,Terror,,Terror,,3112,,Phobos,['Phobus'],,God,unspecified,"{'Mars', 'Deimos', 'Ares'}",Male
Welsh pantheon,Coming soon,https://www.godchecker.com/welsh-mythology/MABON/,"OKAY, not bad",Unknown at present,Love,,Love,,2933,,Mabon,"['Mabon Ap Modron', 'Maponos']",Welsh,God,❤️,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-MARTHA/,Unknown at present,Unknown at present,,,,???-???,839,,Martha,['Martha Of Bethany'],,Saint,Unknown at present,"{'Jesus', 'Mary Magdalene'}",Female
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PERSEUS/,Unknown at present,Unknown at present,,,,,3046,,Perseus,['unspecified'],,legendary mortal,Unknown at present,"{'Pegasus', 'Andromeda', 'Medusa', 'Eurystheus', 'Nymphs', 'Danae', 'Gorgons', 'Hades', 'Atlas', 'Hermes'}",Male
Australian Aboriginal pantheon,Coming soon,https://www.godchecker.com/australian-aboriginal-mythology/MAMARAGAN/,"NOT OKAY, be careful",Unknown at present,Storms,,Storms,,8683,,Mamaragan,['unspecified'],,God,unspecified,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/ADONIS/,Unknown at present,Unknown at present,Fertility,,Fertility,,5460,,Adonis,['unspecified'],,God,unspecified,"{'Olympus', 'Aphrodite', 'Ares', 'Zeus', 'Persephone', 'Calliope'}",Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/INDRA/,"GOOD, quite approachable",Unknown at present,"Supreme, Everything",,Everything,,6943,,Indra,['Śakra'],,God,unspecified,"{'Soma', 'Gautama (2)', 'Vritra', 'Zeus'}",Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/HEIMDALL/,Unknown at present,Unknown at present,Guardian,,Guarding,,13583,,Heimdall,"['Gullintani', 'Heimdallr']",,God,unspecified,"{'Wave Maidens', 'Odin', 'Loki', 'Freya', 'Asgard', 'Bifrost', 'Rig', 'Ragnarok'}",Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/HRYM/,Unknown at present,Unknown at present,,,,,2555,,Hrym,"['Hrim', 'Hrimnir']",,Demon,Unknown at present,"{'Frost Giants', 'Ragnarok'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-DISMAS/,Unknown at present,March 25th,,,,???-???,968,,Dismas,"['Dysmas', 'Good Thief', 'Penitent Thief']",,Saint,Unknown at present,"{'Jesus', 'Mary'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-HELENA/,Unknown at present,Unknown at present,,,,248-328,815,,Helena,['Flavia Iulia Helena Augusta'],,Saint,Unknown at present,set(),Female
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/WOYENGI/,"GOOD, quite approachable",Unknown at present,Populating,,Populating,,2777,,Woyengi,['unspecified'],Ijaw people of Nigeria,Goddess,unspecified,set(),Female
Brittonic pantheon,Coming soon,https://www.godchecker.com/brittonic-mythology/ANTENOCITICUS/,"NEUTRAL, may not care",Unknown at present,Unknown,,Unknown,,3339,,Antenociticus,['Anociticus'],"Newcastle, Northen England",God,unspecified,set(),Male
Polynesian pantheon,Coming soon,https://www.godchecker.com/polynesian-mythology/LO-AU/,"GOOD, quite approachable",Unknown at present,Education,,Education,,2471,,Lo-au,['Loau'],Tonga,God,unspecified,set(),Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/DUBIAKU/,"OKAY, not bad",Unknown at present,,,,,3358,,Dubiaku,['unspecified'],Ashanti people of Ghana,legendary mortal,Unknown at present,set(),Male
Hawaiian pantheon,Coming soon,https://www.godchecker.com/hawaiian-mythology/NU-U/,Unknown at present,Unknown at present,,,,,2348,,Nu'u,"[""Nu'u""]",Hawaii,legendary mortal,Unknown at present,"{'Noah', 'Kane'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/ION/,"NEUTRAL, may not care",Unknown at present,Unknown,,Unknown,,2536,,Ion,['unspecified'],,God,unspecified,{'Apollo'},Male
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/ADAPA/,Unknown at present,Unknown at present,,,,,1929,,Adapa,['unspecified'],Babylon,legendary mortal,Unknown at present,"{'Anu', 'Ea', 'Shutu'}",Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/ELLI/,Unknown at present,Unknown at present,Old Age,,Old Age,,4155,,Elli,['unspecified'],,Goddess,unspecified,{'Thor'},Female
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/VEDAS/,"NEUTRAL, may not care",Unknown at present,,,,,1216,,Vedas,['unspecified'],,information,Unknown at present,{'Rig-Veda'},"Sorry, we don't know"
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-PORPHYRIUS/,Unknown at present,Unknown at present,,,,347-420,612,,Porphyrius,"['Porphyrius Of Gaza', 'Porphyry']",,Saint,Unknown at present,set(),Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/PANDAVAS/,"NEUTRAL, may not care",Unknown at present,Hero,,Heroics,,1584,,Pandavas,['unspecified'],,Gods,unspecified,"{'Kauravas', 'Sahadeva', 'Nakula', 'Pandu', 'Yudhishthira', 'Mâdrî', 'Kunti', 'Bhima', 'Arjuna'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/ATE/,Unknown at present,Unknown at present,"Trickster, Mischief, Mayhem",,Mayhem,,3408,,Ate,['unspecified'],,Goddess,unspecified,{'Eris'},Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-EUGENE-I/,Unknown at present,June 2nd,,,,583-647,689,,Eugene I,['Eugenius-I'],,Saint,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-JOSEPH/,Unknown at present,Unknown at present,,,,???-???,1201,,Joseph,"['Joseph The Carpenter', 'Yosef']",,Saint,Unknown at present,"{'Jesus', 'Mary'}",Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/ANDVARI/,Unknown at present,Unknown at present,,,,,3910,,Andvari,['unspecified'],,legendary mortal,Unknown at present,"{'Otr', 'Brunhild', 'Loki', 'Fafnir', 'Regin'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PHILYRA/,Unknown at present,Unknown at present,Crafts,,Crafts and Making,,8241,,Philyra,['Philyre'],,Goddess,unspecified,"{'Chiron', 'Tethys', 'Rhea', 'Cronus', 'Oceanus'}",Female
Chinese pantheon,Lay Dzoo,https://www.godchecker.com/chinese-mythology/LEIZU/,Unknown at present,Unknown at present,Crafts,,Crafts and Making,,3057,,Leizu,"['Hsi Ling-Shih', 'Lei Zu', 'Lei-Tsu', 'Xi Lingshi']",,Goddess,unspecified,{'Huangdi'},Female
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/ZORYA-VECHERNYAYA/,"NEUTRAL, may not care",Unknown at present,"Evening, Sunset",Venus,the Evening,,2760,,Zorya Vechernyaya,['unspecified'],,Goddess,unspecified,"{'Zorya', 'Dažbog'}",Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/VANIR/,Unknown at present,Unknown at present,Nature,,Nature,,5025,,Vanir,['unspecified'],,Deity,unspecified,"{'Vanaheim', 'Thor', 'Odin', 'Aesir'}","Sorry, we don't know"
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/LARVAE/,Unknown at present,Unknown at present,,,,,1804,,Larvae,['unspecified'],,Demon,Unknown at present,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/COTYTTO/,"NEUTRAL, may not care",Unknown at present,"Desire, Lust",,Desire,,2267,,Cotytto,['Cotys'],,Goddess,unspecified,set(),Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-HENRY-II/,Unknown at present,Unknown at present,,,,972-1204,668,,Henry II,"['Henry Of Bavaria', 'Henry The Lame', 'Henry The Pious']",,Saint,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-ALPHEGE/,Unknown at present,April 19th,,,,953-1012,898,,Alphege,['Ælfheah'],,Saint,Unknown at present,set(),Male
Hawaiian pantheon,Coming soon,https://www.godchecker.com/hawaiian-mythology/KUMU-HONUA/,Unknown at present,Unknown at present,Populating,,Populating,,1969,,Kumu-Honua,['unspecified'],Hawaii,God,unspecified,"{'Adam', 'Lalo-Honua'}",Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/AMUN/,Unknown at present,Unknown at present,"Supreme, Everything",,Everything,,6079,,Amun,"['Amen', 'Ammon', 'Amon']",,God,unspecified,"{'Yahweh', 'Amun-Ra', 'Aten', 'Ogdoad', 'Ra', 'Amaunet'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-BEDE/,Unknown at present,May 26th,,,,673-735,2010,,Bede,['Venerable Bede'],,Saint,Unknown at present,"{'Rheda', 'Eostre'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-CATHERINE-OF-SIENA/,Unknown at present,April 29th,,,,1347-1380,1239,,Catherine of Siena,['unspecified'],,Saint,Unknown at present,"{'Dominic', 'Paul', 'John'}",Female
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/ITZAMNA/,Unknown at present,Unknown at present,Creation,Sun,Creating,,7052,,Itzamna,"['God-D', 'Itzam-Na']",,God,unspecified,"{'Kukulcan', 'Kinich Ahau', 'Itzam Cab', 'Bacabs', 'Hunab Ku', 'Quetzalcoatl', 'Ixchel'}",Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/THIXO/,"OKAY, not bad",Unknown at present,Creation,,Creating,,3915,,Thixo,"['Tiko', 'Uthixo']",Xhosa and Ponda people of South Africa,God,unspecified,"{'Tsui-goab', 'Qamatha'}",Male
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/BUBONA/,Unknown at present,Unknown at present,Cows,,Cows,,1925,,Bubona,['unspecified'],,Goddess,🐄,set(),Female
Australian Aboriginal pantheon,Coming soon,https://www.godchecker.com/australian-aboriginal-mythology/MURAMURA/,Unknown at present,Unknown at present,Ancestors,,Ancestors and Ancestral Spirits,,2401,,Muramura,"['Mooramoora', 'Mura-Mura']",Central Australia,Spirits,unspecified,set(),Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/MUT/,Unknown at present,Unknown at present,Mother,,Motherhood,,2468,,Mut,['unspecified'],,Goddess,unspecified,"{'Isis', 'Amun-Ra', 'Khonsu', 'Osiris'}",Female
Fijian pantheon,Coming soon,https://www.godchecker.com/fijian-mythology/ROKOLA/,"NEUTRAL, may not care",Unknown at present,"Boats, Canoes",,Boats and Canoes,,2623,,Rokola,['unspecified'],Fiji in Melanesia,God,unspecified,{'Ndengei'},Male
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/MULIAN/,"NEUTRAL, may not care",Unknown at present,,,,,1815,,Mulian,['unspecified'],,God,Unknown at present,"{'Dizang Wang', 'Buddha'}",Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/VARPULIS/,"NEUTRAL, may not care",Unknown at present,Wind,,Wind,,2827,,Varpulis,"['Erishvorsh', 'Erisvorsh', 'Erivorsh', 'Warpulis']","Czech Republic, Slovakia",God,unspecified,{'Perun'},Male
Inca pantheon,Coming soon,https://www.godchecker.com/inca-mythology/CAVILLACA/,"NEUTRAL, may not care",Unknown at present,Childbirth,,Birth,,2885,,Cavillaca,['Cavillace'],,Goddess,unspecified,{'Coniraya'},Female
South American pantheon,Coming soon,https://www.godchecker.com/south-american-mythology/HUECUVUS/,Unknown at present,Unknown at present,Evil,,Evil,,2532,,Huecuvus,"['Huecuvas', 'Huecuve']",Mapuche (Araucanian) people of Chile,Spirits,unspecified,"{'Guecubu', 'Pillan'}",Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/WADJET/,"NEUTRAL, may not care",Unknown at present,Snakes,,Snakes,,5596,,Wadjet,"['Buto', 'Edjo', 'Uadjet', 'Uadjit', 'Udjo', 'Uto', 'Wadjyt']",,Goddess,🐍,"{'Nekhbet', 'Horus', 'Set', 'Ra'}",Female
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/ATUM-RA/,"NEUTRAL, may not care",Unknown at present,Sun,,the Sun,,3635,,Atum-Ra,['Atum-Re'],,God,🌞,"{'Ra', 'Atum', 'Set'}",Male
Finnish pantheon,Coming soon,https://www.godchecker.com/finnish-mythology/JUMALA/,Unknown at present,Unknown at present,"Sky, Skies",,the Sky,,3209,,Jumala,['Jubmel'],,God,unspecified,"{'Ukko', 'Jehovah'}",Male
Chinese pantheon,Hoo-arng Dee,https://www.godchecker.com/chinese-mythology/HUANGDI/,"NEUTRAL, may not care",Unknown at present,Ruling,,Ruling,,3244,,Huangdi,"['Huang Di', 'Huang Ti', 'Yellow Emperor']",,God,unspecified,"{'Chiyou', 'Leizu', 'Wu Di'}",Male
Indonesian pantheon,Coming soon,https://www.godchecker.com/indonesian-mythology/PUE-MPALABURU/,"NEUTRAL, may not care",Unknown at present,Sun,,the Sun,,1231,,Pue Mpalaburu,['unspecified'],"Toraja people, Sulawesi (formerly Celebes) in Indonesia",God,🌞,{'Pue Di Songi'},Male
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/BON-MATSURI/,"NEUTRAL, may not care",Unknown at present,,,,,1392,,Bon Matsuri,"['Bon Festival', 'Obon Festival']",,religious festival,Unknown at present,{'Styx'},"Sorry, we don't know"
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/CUPID/,Unknown at present,Unknown at present,Love,,Love,,3467,,Cupid,['unspecified'],,God,❤️,{'Eros'},Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/KAMADHENU/,"GOOD, quite approachable",Unknown at present,Abundance,,Abundance,,3058,,Kamadhenu,['Surabhi'],,Goddess,unspecified,"{'Daksha', 'Amrita', 'Nandini'}",Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/MODI/,Unknown at present,Unknown at present,Combat,,Warriors and Fighting,,8952,,Modi,"['Módi', 'Móði', 'Mothi']",,God,unspecified,"{'Magni', 'Thor', 'Mjollnir', 'Járnsaxa', 'Ragnarok'}",Male
Brittonic pantheon,Coming soon,https://www.godchecker.com/brittonic-mythology/ANGAU/,"NEUTRAL, may not care",Unknown at present,,,,,2956,,Angau,['Ankou'],,God,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-CHRISTINA-OF-BOLSENA/,Unknown at present,July 24th,,,,???-???,711,,Christina of Bolsena,"['Christina Of Tyre', 'Christina The Great Martyr']",,Saint,Unknown at present,set(),Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/SKEGGOLD/,Unknown at present,Unknown at present,"Psychopomp, Ferryman, Death",,Escorting Souls,,3374,,Skeggöld,"['Skeggiöld', 'Skeggjöld']",,Spirit,unspecified,{'Valkyries'},Female
