Pantheon,Pronunciation,url,Good/Evil Rating,Celebration or Feast Day,Area of expertise,Associated with,In charge of,Birth and Death Dates,Popularity index,Name means,Name,Alternative names,Area or people,Type,Role,Related Gods,Gender
Polynesian pantheon,Coming soon,https://www.godchecker.com/polynesian-mythology/VEHINE-HAE/,"BAD, best avoided",Unknown at present,Misfortune,,Bad Luck,,1278,,Vehine Hae,['unspecified'],Marquesas,Spirits,unspecified,set(),Female
Fijian pantheon,Coming soon,https://www.godchecker.com/fijian-mythology/NDAUTHINA/,Unknown at present,Unknown at present,Fire,,Fire,,2531,,Ndauthina,['unspecified'],Fiji in Melanesia,God,🔥,set(),Male
Australian Aboriginal pantheon,Coming soon,https://www.godchecker.com/australian-aboriginal-mythology/JULANA/,"BAD, best avoided",Unknown at present,Wrongdoing,,Wrongdoing and bad deeds,,3587,,Julana,['unspecified'],Jumu tribe of Western Australia,God,unspecified,"{'Njirana', 'Dreamtime'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-ZDISLAVA-BERKA/,Unknown at present,Unknown at present,,,,1200-1252,781,,Zdislava Berka,['unspecified'],,Saint,Unknown at present,{'Jesus'},Female
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/DZIVA/,"NOT OKAY, be careful",Unknown at present,Creation,,Creating,,4535,,Dziva,['unspecified'],Shona of Zimbabwe,Goddess,unspecified,set(),Female
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/RUHANGA/,"OKAY, not bad",Unknown at present,Creation,,Creating,,2746,,Ruhanga,['unspecified'],Bantu (Banyoro) from Uganda,God,unspecified,{'Rugaba'},Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-DENIS/,Unknown at present,October 9th,,,,258-286,754,,Denis,['Denys'],,Saint,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-ELIZABETH-OF-PORTUGAL/,Unknown at present,July 4th,,,,1271-1336,776,,Elizabeth of Portugal,['Elizabeth Of Aragon'],,Saint,Unknown at present,set(),Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-LEO-IX/,Unknown at present,Unknown at present,,,,1002-1054,688,,Leo IX,['unspecified'],,Saint,Unknown at present,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/NEREIDS/,Unknown at present,Unknown at present,"Sea, Seas, Ocean, Oceans",,the Ocean,,2242,,Nereids,"['Nereides', 'Sea Nymphs']",,Spirits,unspecified,"{'Doris', 'Nereus', 'Nymphs'}",Female
Finnish pantheon,Coming soon,https://www.godchecker.com/finnish-mythology/TUULIKKI/,Unknown at present,Unknown at present,Nature,,Nature,,3306,,Tuulikki,['unspecified'],,Goddess,unspecified,"{'Mielikki', 'Tapio'}",Female
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/COINCHEANN/,Unknown at present,Unknown at present,,,,,1391,,Coincheann,['Conchean'],,God,Unknown at present,set(),Male
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/MANABOZHO/,"NEUTRAL, may not care",Unknown at present,"Trickster, Mischief, Mayhem",,Mayhem,,16300,,Manabozho,"['Big Rabbit', 'Great Hare', 'Great Rabbit', 'Manabozo', 'Manabush', 'Manibozho', 'Nanabozho', 'Nanabozo', 'Nanabush', 'Wenabozho', 'Winabozho', 'Wisaaka']",Algonquin and Ojibwe people of the Anishinaabe group,God,unspecified,"{'Chibiabos', 'Wabasso', 'Ictinike', 'Chakekenapok', 'Hare', 'Glooskap', 'Michabo'}",Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/MIKULA/,Unknown at present,Unknown at present,Hero,,Heroics,,2612,,Mikula,"['Mikula Selianinovich', 'Mikula Selyaninovich', 'Микула Селянинович']",,God,unspecified,"{'Mati Syra Zemlya', 'Bogatyri'}",Male
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/ISHTAR/,Unknown at present,Unknown at present,War,Venus,War,,8721,,Ishtar,['Istar'],"Akkadia, Sumer, Babylon",Goddess,unspecified,"{'Ereshkigal', 'Aphrodite', 'Tammuz', 'ME', 'Gilgamesh', 'Isis', 'Inanna', 'Tablet of Destinies', 'Astarte'}",Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-SIXTUS-I/,Unknown at present,Unknown at present,,,,62-125,633,,Sixtus I,['unspecified'],,Saint,Unknown at present,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/INO/,Unknown at present,Unknown at present,,,,,2676,,Ino,['unspecified'],,legendary mortal,Unknown at present,"{'Cadmus', 'Athamas', 'Harmonia'}",Female
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/IAH/,"NEUTRAL, may not care",Unknown at present,Time,Moon,Time,,23403,,Iah,"['Aah', 'Iah-Djehuty', 'Jah', 'Joh', 'Yah']",,God,unspecified,"{'Nut', 'Khonsu', 'Horus', 'Isis', 'Set', 'Thoth', 'Ra', 'Osiris', 'Nephthys'}",Male
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/KONGO/,"NEUTRAL, may not care",Unknown at present,Knowledge,,Knowledge,,2112,,Kongo,['Sanko'],,information,unspecified,"{'Kobo Daishi', 'Koya-no-Myojin'}","Sorry, we don't know"
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-LUDGER/,Unknown at present,Unknown at present,,,,743-809,678,,Ludger,"['Ludgerus', 'Lüdiger']",,Saint,Unknown at present,set(),Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/CAIBELL/,Unknown at present,Unknown at present,,,,,1398,,Caibell,['unspecified'],,God,Unknown at present,set(),Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/MATI-SYRA-ZEMLYA/,"GOOD, quite approachable",Unknown at present,Earth,,the Earth,,4794,,Mati Syra Zemlya,"['Mata Syra Zjemlja', 'Mati Syra Zemlia', 'Matisyrazemlya']",,Goddess,unspecified,"{'Mikula', 'Mokosh'}",Female
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/SADHYAS/,"OKAY, not bad",Unknown at present,Guardian,,Guarding,,1198,,Sâdhyas,['unspecified'],,Gods,unspecified,set(),Male
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/CHIPI-CAKULHA/,Unknown at present,Unknown at present,Lightning,,Lightning,,1759,Lightning flash,Chipi-Cakulha,['Chipi-Caculha'],,God,🌩️,"{'Cakulha-Huracan', 'Huracan', 'Raxa-Cakulha'}",Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/HIRANYAKASHIPU/,"BAD, best avoided",Unknown at present,,,,,1672,,Hiranyakashipu,['Hiranyakasipu'],,Demon,Unknown at present,"{'Vishnu', 'Narasimha'}",Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/AI-MAC-OLLAMAIN/,"NEUTRAL, may not care",Unknown at present,,,,,2603,,Aí mac Ollamain,"['Ai', 'Aí Mac Ollamon', 'Aoi', 'Aoi Mac Ollamain']",,God,Unknown at present,set(),Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/SIBILJA/,Unknown at present,Unknown at present,Protection,,Protection,,3568,,Síbilja,['Sibilja'],,Goddess,unspecified,set(),Female
Middle Eastern pantheon,Coming soon,https://www.godchecker.com/middle-eastern-mythology/MANTICORE/,Unknown at present,Unknown at present,,,,,1458,,Manticore,['Mardykhor'],Persia,fabulous creature,Unknown at present,set(),Male
Japanese pantheon,Coming soon,https://www.godchecker.com/japanese-mythology/OKUNINUSHI/,"NEUTRAL, may not care",Unknown at present,Earth,,the Earth,,3404,,Okuninushi,"['O-Kuni-Nushi', 'Onamuji']",,God,unspecified,"{'Izanagi', 'Susano-wo', 'Sukuna-Bikona', 'Izanami'}",Male
Gaulish pantheon,Coming soon,https://www.godchecker.com/gaulish-mythology/BORMANA/,Unknown at present,Unknown at present,,,,,2070,,Bormana,['Bormanna'],,Goddess,Unknown at present,{'Borvo'},Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/AMLETH/,Unknown at present,Unknown at present,,,,,3855,,Amleth,"['Amlethus', 'Amlóða', 'Amlóði', 'Hamlet']",,legendary mortal,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-CEOLFRID/,Unknown at present,September 25th,,,,647-716,727,,Ceolfrid,['Ceolfrith-Of-Wearmouth'],,Saint,Unknown at present,set(),Male
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/HUNAHPU/,Unknown at present,Unknown at present,Sun,,the Sun,,5370,,Hunahpu,"['God-S', 'Hun-Ahau', 'Hun-Ahaw', 'Hun-Aphu', 'Hun-Nik', 'Hunaphu', 'Hunapu']",,God,🌞,"{'Vucub Hunahpu', 'Hun Hunahpu', 'Hero Twins', 'Xbalanque'}",Male
Vodou pantheon,Coming soon,https://www.godchecker.com/vodou-mythology/BOSOU/,"NOT OKAY, be careful",Unknown at present,Ruling,,Ruling,,2829,,Bosou,['Bossu'],Haiti,Spirit,unspecified,{'Baron Samedi'},Male
Chinese pantheon,Fung Sshway,https://www.godchecker.com/chinese-mythology/FENG-SHUI/,"NEUTRAL, may not care",Unknown at present,Harmony,,Harmony,,2111,,Feng Shui,"['Feng-Shui', 'Fung-Seoi']",,concept,unspecified,"{'Yin', 'Qi', 'Yang', 'Sanxing', 'Fuxing', 'Shouxing', 'Luxing'}",Male and female
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/OGMA/,"OKAY, not bad",Unknown at present,Communication,,Communication,,4698,,Ogma,['Oghma'],,God,unspecified,{'Ogmios'},Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/KANU/,"GREAT, really beneficial",Unknown at present,Creation,,Creating,,2853,,Kanu,['unspecified'],Baga of Guinea,God,unspecified,set(),Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/DOLYA/,Unknown at present,Unknown at present,"Fate, Destiny",,Fate and Destiny,,3745,,Dolya,['Dolya–Nedolya'],"Serbia, Russia and the Ukraine",Goddess,unspecified,{'Kikimora'},Female
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/CHACOMAT/,"NEUTRAL, may not care",Unknown at present,Creation,,Creating,,1200,,Chacomat,['unspecified'],Kumeyaay aka Tipai-Ipai (formerly Kamia or Diegueño) people of California,God,unspecified,"{'Umai-hulhlya-wit', 'Chacopa'}",Male
Fijian pantheon,Coming soon,https://www.godchecker.com/fijian-mythology/NAITONU/,Unknown at present,Unknown at present,,,,,2612,,Naitonu,['Naitono'],Fiji in Melanesia,God,Unknown at present,set(),Male
Aztec pantheon,Coming soon,https://www.godchecker.com/aztec-mythology/CHALCHIUHTLICUE/,"GOOD, quite approachable",Unknown at present,Water,,Water,,4173,Jade Skirt,Chalchiuhtlicue,"['Chalchihuitlicue', 'Matlalcueitl', 'Matlalcueyeh']",,Goddess,unspecified,{'Tlaloc'},Female
